frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,-0.012,9.577,3.115,3.22901,2.90840,-0.61069
1,0.033,0.034,9.491,3.219,2.73535,3.24178,-0.45802
2,0.067,0.109,9.490,3.345,2.30785,3.06106,-0.47839
3,0.100,0.048,9.799,3.431,2.30533,2.35879,-0.44275
4,0.133,0.046,9.582,3.312,3.11449,1.91346,-0.43000
5,0.167,0.112,9.440,3.335,2.10685,1.05333,-0.18577
6,0.200,0.014,9.416,3.242,2.03815,0.78626,-0.56485
7,0.233,-0.002,9.511,3.341,1.42223,0.86257,-0.41732
8,0.267,0.088,9.546,3.365,0.26976,0.56737,-0.52677
9,0.300,-0.110,9.637,3.342,0.92371,0.37404,-0.30535
10,0.333,0.031,9.542,3.352,0.95179,0.15775,0.02805
11,0.367,0.117,9.466,3.445,1.08643,0.14502,-0.26213
12,0.400,0.012,9.538,3.390,0.71805,-0.35695,-0.10753
13,0.433,0.071,9.570,3.329,1.87536,-0.93131,0.05597
14,0.467,-0.077,9.432,3.480,0.82454,-2.74285,-0.32314
15,0.500,-0.081,9.342,3.316,2.69479,-4.41225,-1.93140
16,0.533,-0.238,9.270,3.248,3.22935,-4.52413,-4.23934
17,0.567,-0.378,9.737,3.297,1.26473,-4.17313,-4.92120
18,0.600,-0.713,9.716,2.993,3.12212,-1.19792,-6.44293
19,0.633,-0.765,9.403,2.884,-0.27033,3.56795,-6.42475
20,0.667,-0.331,9.494,2.787,-2.10934,4.32291,-6.15531
21,0.700,-0.081,9.479,3.151,-2.78631,-0.97751,-6.86274
22,0.733,0.291,9.677,3.169,-2.53434,-4.71061,-7.73308
23,0.767,0.185,9.378,3.268,-2.20638,-6.75523,-9.19623
24,0.800,0.132,8.973,3.278,-2.31279,-1.11380,-10.16012
25,0.833,-0.160,9.081,3.746,1.45391,5.14353,-5.30943
26,0.867,0.370,9.006,3.385,11.53324,9.17557,4.87955
27,0.900,1.604,9.306,3.476,7.86178,1.00678,14.32028
28,0.933,3.053,10.961,3.461,-1.80405,-6.49079,-0.89409
29,0.967,1.100,10.365,3.073,-3.61303,-8.71813,-11.95381
30,1.000,-0.000,9.982,2.686,-4.73257,1.82504,-7.28887
31,1.033,1.388,11.429,2.349,3.53029,16.29509,-1.11102
32,1.067,1.801,10.608,1.987,10.10142,3.51740,7.94441
33,1.100,2.490,9.395,1.956,0.99953,-7.13782,2.59501
34,1.133,2.126,9.330,0.844,-1.13162,-19.34151,1.73486
35,1.167,0.915,9.519,3.042,15.21823,-10.96817,8.84210
36,1.200,-1.365,10.094,5.195,5.64111,3.41178,0.97605
37,1.233,-1.667,8.273,4.825,2.73301,11.41608,4.29216
38,1.267,-0.127,8.251,5.634,3.34532,14.24239,13.46841
39,1.300,0.390,8.159,6.029,-5.58917,3.64075,11.90055
40,1.333,-0.615,8.316,5.600,-9.45836,4.71406,11.54175
41,1.367,-0.891,8.839,4.932,-11.32610,3.42782,10.11171
42,1.400,-1.146,10.847,4.777,-2.18230,3.70250,5.88636
43,1.433,-1.117,11.818,4.453,11.65155,-7.92020,9.70907
44,1.467,-0.303,10.197,3.471,26.41761,-18.93037,9.44114
45,1.500,-0.845,10.063,2.739,32.39686,-25.80148,-2.51154
46,1.533,-2.343,9.974,1.387,35.39629,-20.55672,-10.39413
47,1.567,-2.862,8.042,1.378,36.25110,-8.06491,-12.90103
48,1.600,-2.907,6.735,1.683,4.12083,15.40561,-17.08427
49,1.633,-2.283,6.978,1.680,-19.64740,38.62281,-25.49439
50,1.667,-1.392,8.911,3.860,-21.86102,57.13822,-26.30455
51,1.700,3.196,12.871,5.911,-9.83918,18.38706,6.21405
52,1.733,2.822,9.961,5.203,-7.53756,-8.89076,-4.35295
53,1.767,-0.402,9.027,5.970,-13.34605,-13.59542,-9.49109
54,1.800,-0.098,8.468,6.009,-5.51900,2.43541,1.27515
55,1.833,1.327,7.014,5.757,1.91245,13.35287,3.99968
56,1.867,1.884,7.870,5.027,-5.90259,7.20624,0.25121
57,1.900,2.066,11.449,4.424,2.43516,-2.32858,-9.09138
58,1.933,2.108,11.253,3.237,12.49755,-0.34837,-8.45525
59,1.967,1.223,10.199,3.775,23.89691,0.40734,-2.34040
60,2.000,0.651,10.017,2.607,12.71675,6.29789,3.57301
61,2.033,2.055,10.017,2.274,6.02773,4.86709,6.76342
62,2.067,2.559,8.515,2.094,-0.22666,-3.61376,10.25461
63,2.100,2.136,7.389,2.303,-12.35806,-15.87699,14.32797
64,2.133,2.080,6.661,1.791,-24.81983,-28.79972,19.46633
65,2.167,1.911,6.444,2.962,-29.46336,-28.34751,19.70687
66,2.200,-3.708,14.804,8.916,-30.76787,2.89257,-4.04349
