frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,0.287,9.850,1.626,-1.61832,-0.61832,-1.39695
1,0.033,0.343,9.914,1.575,-0.98227,-0.31550,-1.32315
2,0.067,0.324,9.802,1.566,-0.16791,-0.59287,-1.32570
3,0.100,0.242,9.673,1.642,-1.01526,-0.35878,-1.28244
4,0.133,0.379,9.835,1.646,-1.29262,-0.12468,-1.27737
5,0.167,0.345,9.880,1.615,-0.96183,-0.75318,-0.77100
6,0.200,0.321,9.869,1.535,-0.69466,-0.54200,-0.66414
7,0.233,0.345,9.739,1.634,-0.78371,-1.27989,-1.03563
8,0.267,0.326,9.908,1.579,-1.33825,-1.75063,-0.92114
9,0.300,0.264,9.835,1.688,0.43509,-1.47370,-0.98505
10,0.333,0.314,9.881,1.691,-0.87527,-0.62597,-1.31548
11,0.367,0.346,9.745,1.727,-1.28451,-0.80103,-0.99991
12,0.400,0.297,9.773,1.695,-2.15267,-0.88549,-1.19847
13,0.433,0.250,9.859,1.717,-1.80917,-0.53944,-0.90332
14,0.467,0.310,9.886,1.692,-0.55988,-0.59796,-0.94147
15,0.500,0.426,9.931,1.583,-0.77864,0.24429,-0.55725
16,0.533,0.305,9.801,1.539,-1.87022,0.62850,-0.07380
17,0.567,0.389,9.890,1.561,-2.10941,0.78879,-0.36127
18,0.600,0.503,9.905,1.434,-1.91603,0.92366,-1.64885
19,0.633,0.651,9.883,1.476,-2.36387,0.27990,-2.97966
20,0.667,0.557,10.012,1.442,-2.34351,-0.84732,-6.09160
21,0.700,0.053,10.204,1.494,-1.65645,0.64126,-5.19849
22,0.733,0.228,9.807,1.492,5.19838,4.31027,-3.61844
23,0.767,0.781,9.703,1.514,3.61564,3.19074,-2.34606
24,0.800,0.845,9.780,1.401,-0.67939,0.85496,-3.19084
25,0.833,0.843,9.865,1.470,1.36384,-2.18319,-3.55215
26,0.867,1.018,9.954,1.438,0.77863,-2.93358,-2.45805
27,0.900,0.620,10.070,1.420,1.64891,-4.67938,0.00005
28,0.933,0.657,9.985,1.602,2.84474,-3.30280,1.45803
29,0.967,0.608,9.939,1.418,1.54960,-4.47074,1.20357
30,1.000,0.627,9.711,1.808,3.42740,-3.44274,2.54175
31,1.033,0.551,9.860,1.641,5.03048,-4.69467,6.04829
32,1.067,0.499,9.888,1.592,6.38678,-4.28752,7.60815
33,1.100,0.534,9.845,1.755,5.00765,-5.18329,8.22903
34,1.133,0.567,9.875,1.569,7.69971,-9.78113,8.23665
35,1.167,0.414,8.822,1.711,10.53944,-12.07888,3.02290
36,1.200,0.129,8.875,1.628,16.91602,-14.00000,-9.35876
37,1.233,-0.105,11.140,0.678,2.31048,-3.64382,-17.04579
38,1.267,-0.842,11.321,0.375,5.33518,-1.96638,-4.75380
39,1.300,0.026,9.905,1.748,9.15362,-5.14484,4.27451
40,1.333,0.034,9.833,0.717,8.45022,-9.68431,7.42206
41,1.367,-0.069,9.795,0.840,10.71984,-8.10704,7.78897
42,1.400,-0.196,8.856,0.843,15.57998,-1.88556,0.29022
43,1.433,-0.879,8.997,0.791,5.04611,7.19828,-0.22907
44,1.467,-0.773,9.372,0.180,-0.07889,12.19077,1.36133
45,1.500,0.297,9.874,0.125,0.56489,16.29771,-1.08399
46,1.533,-0.109,10.214,0.556,4.74031,16.17807,-2.89562
47,1.567,-0.512,10.092,1.021,8.90076,17.40205,-5.31303
48,1.600,-0.836,9.713,0.802,1.99201,18.23670,-1.83195
49,1.633,-0.346,9.815,0.982,-13.80701,20.51150,1.75841
50,1.667,0.936,11.301,1.275,-18.43992,23.80439,3.33833
51,1.700,0.275,11.253,2.207,-4.59539,-7.55723,2.74808
52,1.733,-0.823,10.311,3.203,-7.24941,2.42252,-7.24948
53,1.767,0.064,9.568,3.891,-1.93397,14.17036,-9.79645
54,1.800,0.800,8.799,3.728,1.83962,12.47318,0.03067
55,1.833,0.710,9.001,3.225,-5.63860,2.40970,8.72017
56,1.867,0.874,10.196,3.024,-12.53177,-2.39692,5.69219
57,1.900,1.841,10.793,2.751,-3.69459,-6.45805,-8.90842
58,1.933,1.073,9.714,2.666,4.92113,-10.71754,-9.45040
59,1.967,0.348,9.168,1.880,5.80918,-3.61581,-2.35888
60,2.000,0.649,9.371,1.863,7.34359,-0.73280,0.68701
61,2.033,1.381,9.270,1.548,10.74019,-5.16724,-0.86976
62,2.067,1.751,9.277,1.118,9.92371,-11.33068,-4.73533
63,2.100,1.168,9.282,0.268,9.67935,-17.67940,-1.04587
64,2.133,0.816,8.656,0.225,7.65933,-25.97188,4.65391
65,2.167,1.324,8.246,0.157,-5.15505,-25.67435,3.74306
66,2.200,1.290,9.021,0.165,-13.54954,-22.70227,-3.75569
67,2.233,1.098,8.842,-0.356,-5.43037,-17.95191,-0.20879
68,2.267,1.807,11.046,1.710,5.05949,-10.78459,-0.22050
69,2.300,-2.153,17.514,7.900,-32.22566,14.71787,-29.69320
70,2.333,-2.750,15.026,3.633,0.88034,31.54560,-31.56472
71,2.367,3.140,10.206,4.804,6.16627,20.11794,9.24478
72,2.400,1.130,10.070,3.522,-6.40941,-12.54119,8.57970
73,2.433,-1.247,7.481,4.073,16.54953,-7.93269,5.01520
74,2.467,-0.409,6.078,3.846,-2.25302,7.57323,-0.39231
75,2.500,-0.407,7.324,3.227,-20.08395,16.96253,-3.19805
76,2.533,-0.945,9.168,3.360,-14.00621,17.08320,8.27349
77,2.567,-0.647,9.503,3.177,-6.50603,11.01246,9.89039
78,2.600,-0.081,10.087,2.696,-10.97715,6.63326,2.16760
79,2.633,0.512,10.260,2.324,-7.77317,0.88790,-0.46078
80,2.667,0.086,9.839,2.011,-0.32293,-6.52949,1.56497
81,2.700,-0.484,9.069,1.855,2.25182,-5.09949,3.22128
82,2.733,-0.527,8.894,1.613,0.99671,0.37327,0.17044
83,2.767,-0.445,8.848,1.355,-1.68212,3.48879,-5.52952
84,2.800,-0.311,8.722,1.070,-4.51172,8.16852,-9.43545
85,2.833,-0.428,9.217,1.229,-9.11724,14.62378,-11.90321
86,2.867,-0.527,10.129,0.843,-10.38930,17.89049,-7.42213
87,2.900,0.268,10.410,0.603,-9.76987,14.86178,-4.74046
88,2.933,0.141,10.022,0.412,-4.01289,8.35351,-4.29009
89,2.967,-0.218,9.967,0.316,-9.11720,5.88565,-5.73305
90,3.000,-0.615,10.709,0.417,-12.02281,12.64086,-9.04583
91,3.033,1.032,11.646,2.060,-13.02313,17.27020,-6.81696
92,3.067,1.099,11.815,3.583,-3.85231,-10.14310,-0.29484
93,3.100,0.491,10.436,3.948,-2.51088,-12.80851,7.93860
94,3.133,0.140,8.855,4.085,-0.13742,-0.18027,3.47073
95,3.167,0.642,8.992,3.249,1.10946,2.84472,6.87040
96,3.200,0.833,10.053,2.799,-0.64891,-3.49631,11.48811
97,3.233,1.196,10.602,2.519,3.39710,-1.18086,1.27716
98,3.267,1.923,9.813,2.436,7.62838,-5.93407,-5.65919
99,3.300,1.446,9.280,1.894,7.91514,-4.71715,-6.89324
100,3.333,0.780,9.277,1.678,8.78955,-8.29026,-2.76919
101,3.367,0.796,9.519,1.158,11.57211,-6.74305,-0.51407
102,3.400,1.410,9.424,1.075,15.73284,-9.61838,-0.54201
103,3.433,1.427,9.125,0.437,16.28952,-17.28811,0.95198
104,3.467,1.033,8.159,0.128,10.42235,-24.56826,10.57969
105,3.500,1.050,7.653,0.566,-3.06873,-19.55140,6.93688
106,3.533,0.943,8.375,0.229,-16.94097,-16.04638,0.38485
107,3.567,1.283,8.842,-0.488,-11.72004,-13.33240,4.42381
108,3.600,2.506,9.890,0.817,-5.57288,-11.80984,4.67468
109,3.633,-3.014,17.890,8.215,-38.07403,26.07109,-29.05887
110,3.667,-4.276,15.821,3.891,8.32466,31.41809,-27.62633
111,3.700,3.890,10.749,4.983,3.06922,13.61138,17.45848
112,3.733,2.093,9.781,3.506,-6.23658,-16.11727,9.00474
113,3.767,-0.219,7.787,3.183,6.20654,-16.99638,-0.51446
114,3.800,-1.410,6.631,4.084,6.57731,1.26090,-3.22788
115,3.833,-0.878,6.979,3.303,1.49174,9.39471,-0.94368
116,3.867,-0.395,8.701,3.693,-4.43471,6.51718,6.88691
117,3.900,0.162,9.753,3.094,1.58226,1.19679,8.09774
118,3.933,-0.229,9.477,3.120,-6.93386,-3.57718,2.02490
119,3.967,-0.375,10.200,2.282,-14.76325,-0.99131,-3.62434
120,4.000,0.080,10.000,1.747,-5.40686,-2.69080,0.68802
121,4.033,-0.373,9.426,1.824,2.40092,-0.54516,2.13953
122,4.067,-0.585,9.392,1.693,4.80641,6.79968,-0.29724
123,4.100,-0.368,9.200,1.481,4.94505,8.94969,-2.70568
124,4.133,-0.102,9.236,0.984,3.69292,9.04316,-7.34379
125,4.167,-0.075,9.540,0.821,2.24427,12.06765,-13.48013
126,4.200,-0.705,9.664,0.862,1.18409,13.69805,-15.96819
127,4.233,-0.499,9.238,0.809,-5.96653,16.90816,-9.23801
128,4.267,0.307,9.771,0.672,-10.72359,13.98688,-4.25730
129,4.300,0.093,9.939,0.536,-7.69794,6.69539,-4.20912
130,4.333,-0.517,10.272,0.739,-8.57125,9.98393,-7.66896
131,4.367,0.231,11.980,1.353,-16.95489,12.66439,0.14125
132,4.400,1.304,11.368,2.098,-11.02218,-8.53417,6.91162
133,4.433,0.793,10.914,2.917,-14.92717,-15.05449,3.86632
134,4.467,-0.135,10.811,3.010,-8.50275,-10.18973,-4.57251
135,4.500,0.420,9.537,3.794,4.12822,-4.61774,1.94343
136,4.533,0.811,8.461,3.739,8.38812,-5.96212,13.74148
137,4.567,0.473,8.894,3.463,4.08399,-5.72081,19.04279
138,4.600,1.088,10.582,2.776,1.49344,-6.88066,9.21679
139,4.633,1.957,10.538,2.878,8.44269,-15.94307,-4.21475
140,4.667,1.196,9.654,2.089,8.49997,-8.42027,-8.26522
141,4.700,0.580,9.070,1.601,14.42165,-7.08286,-2.79381
142,4.733,0.446,9.304,1.407,17.65615,-3.36831,2.93326
143,4.767,0.990,9.315,1.134,20.03555,-5.72113,5.17616
144,4.800,1.111,8.975,0.718,19.13002,-13.74551,5.91182
145,4.833,0.931,8.020,0.111,9.42491,-19.95168,10.28730
146,4.867,0.689,7.843,0.496,-1.42057,-16.35264,12.82164
147,4.900,0.428,8.449,0.100,-18.50136,-6.59140,7.22453
148,4.933,0.142,8.176,-0.193,-19.63262,0.74398,9.13825
149,4.967,1.012,9.852,1.659,-13.29897,18.63052,5.93396
150,5.000,-1.772,17.225,7.146,-40.67573,46.69337,-31.57552
151,5.033,-1.444,13.482,2.082,-4.29726,41.21791,-17.08682
