frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,0.160,9.517,2.382,16.90840,7.26718,5.52672
1,0.033,0.689,9.094,1.867,9.19681,-2.63406,15.06652
2,0.067,0.481,10.413,1.526,-8.41586,-8.69647,6.61515
3,0.100,0.266,10.740,1.137,-14.01520,-8.30451,-5.41991
4,0.133,-0.255,10.719,1.056,-15.04737,0.18541,-6.63408
5,0.167,-0.086,10.210,1.078,-0.70964,9.90162,-8.70459
6,0.200,0.373,9.160,1.645,0.31046,9.01266,-2.82235
7,0.233,0.057,9.370,1.543,-9.72954,-0.40772,3.14028
8,0.267,0.524,10.152,1.675,-7.56193,0.59322,1.24571
9,0.300,0.237,10.326,2.998,-6.94703,5.32128,-4.25318
10,0.333,-0.256,10.259,2.732,-0.34790,5.04579,-9.92647
11,0.367,-0.417,8.785,2.981,10.40977,2.02263,-11.25991
12,0.400,-0.484,8.554,2.193,0.75094,1.16723,-15.38097
13,0.433,-1.090,10.075,1.586,-11.72266,4.25191,-9.72008
14,0.467,-1.042,10.467,1.000,-10.54851,2.97142,-4.48301
15,0.500,-1.113,9.874,1.089,-8.12097,-1.59577,-1.43545
16,0.533,-0.367,9.314,0.794,-0.05596,-4.54553,-4.37929
17,0.567,-0.114,9.817,1.636,6.30977,-2.19534,-4.97125
18,0.600,0.108,10.551,1.688,4.13742,-8.63406,-4.06075
19,0.633,0.157,10.682,1.669,12.64092,-15.18977,-1.06866
20,0.667,0.100,9.288,2.143,9.44553,-19.62089,-3.30571
21,0.700,0.048,9.220,1.535,6.01563,-18.90749,-2.26691
22,0.733,-0.589,9.409,1.672,5.95658,-12.13318,-0.89846
23,0.767,-0.823,9.852,1.682,-0.09292,-3.89206,-2.90385
24,0.800,-0.175,10.020,1.985,3.23770,-0.68034,-3.02288
25,0.833,-0.015,9.609,2.195,11.30881,-4.15498,-0.49819
26,0.867,0.035,8.577,2.001,9.48757,-2.88715,8.99625
27,0.900,0.314,9.127,1.633,3.94558,0.77025,14.46600
28,0.933,0.128,11.401,1.049,1.32800,-2.58364,11.86614
29,0.967,-0.193,11.735,1.158,1.52224,0.49467,3.13605
30,1.000,-0.146,10.376,1.104,4.29032,3.05443,0.08395
31,1.033,0.097,9.098,0.828,3.62008,6.12157,-0.61865
32,1.067,0.426,9.444,1.057,2.33268,3.13504,-0.86777
33,1.100,0.661,9.828,1.049,10.02371,-4.91654,-1.51177
34,1.133,0.234,9.296,0.780,9.46789,-8.45360,-2.58340
35,1.167,-0.067,9.433,0.700,4.89525,-8.93572,-3.36352
36,1.200,0.242,9.888,0.941,6.43580,-3.44987,-1.26676
37,1.233,-0.010,9.632,0.784,8.61467,0.18381,-2.21643
38,1.267,0.046,9.519,0.441,-0.50979,3.85305,-2.93130
39,1.300,0.496,9.915,0.417,-4.19876,1.73948,-1.89255
40,1.333,0.794,10.618,0.310,-0.02628,-3.67467,0.89615
41,1.367,1.075,9.912,0.274,4.54756,-14.44422,-0.44622
42,1.400,0.929,9.359,0.907,-9.51976,-9.64561,-11.26991
43,1.433,-0.820,11.432,1.256,-34.20313,12.83118,-22.42701
44,1.467,-1.375,12.340,2.264,-20.39135,29.56737,-17.23874
45,1.500,1.149,10.304,2.138,-3.95692,24.79887,2.66557
46,1.533,1.623,10.026,3.718,-15.47583,9.06095,2.05115
47,1.567,0.655,10.572,4.660,-1.63516,-8.19575,-8.29110
48,1.600,0.168,10.407,3.694,-1.70155,-4.16796,-18.64919
49,1.633,-0.718,9.195,2.963,-8.00215,-3.93287,-12.07774
50,1.667,-1.677,9.592,2.048,-12.74021,-2.17837,7.06185
51,1.700,-0.579,9.622,1.985,-3.37269,-3.13758,15.35084
52,1.733,-0.100,9.055,1.588,-2.71790,-6.10877,9.69524
53,1.767,-0.223,8.424,1.429,-2.32288,-4.06411,3.07856
54,1.800,-0.146,8.849,1.470,-0.75546,-6.72520,3.99989
55,1.833,-0.168,9.338,0.644,2.19108,-7.99250,2.03241
56,1.867,-0.433,9.451,0.571,5.38796,-8.21878,-1.27818
57,1.900,-0.783,9.203,0.242,11.57205,-7.58774,-6.93975
58,1.933,-0.869,8.563,0.262,4.08120,-5.02926,-11.06408
59,1.967,-0.661,9.204,0.289,-0.32266,0.06406,-10.80578
60,2.000,-0.915,10.092,-0.132,-8.48121,-0.37414,-0.96161
61,2.033,-1.138,9.337,-0.473,-14.66339,-1.60132,3.78256
62,2.067,-1.174,12.718,1.373,-26.17128,16.11359,-1.76551
63,2.100,1.990,14.226,2.967,-34.07325,-5.73260,19.92359
64,2.133,0.051,10.083,4.612,13.11050,-41.33655,20.49089
65,2.167,-2.133,9.088,5.851,-16.01201,0.53510,-2.04357
66,2.200,-0.352,11.739,2.947,-19.32009,21.79077,4.47688
67,2.233,-0.336,10.545,2.098,19.91199,-3.61899,21.94540
68,2.267,0.583,8.974,3.174,1.38385,-2.18250,8.13975
69,2.300,1.973,9.292,2.138,-2.81313,-4.95673,-13.36771
70,2.333,1.112,9.243,1.692,13.76600,-13.32057,-14.13890
71,2.367,0.076,8.845,1.616,21.72260,-10.52338,-7.24011
72,2.400,-1.084,8.421,1.559,10.32352,-4.07780,-2.83273
73,2.433,-0.543,8.433,1.193,8.40967,6.16792,2.81683
74,2.467,0.406,9.012,0.764,7.32899,5.04372,3.23638
75,2.500,0.467,8.774,0.371,0.13710,0.23349,4.77223
76,2.533,0.778,8.327,0.469,1.74799,-1.61593,12.08975
77,2.567,0.768,9.742,0.865,-1.64020,-2.61872,7.63161
78,2.600,0.204,11.444,0.517,-5.54633,-6.28290,-2.81013
79,2.633,1.028,10.431,-0.696,22.25038,-0.43753,-4.07806
80,2.667,1.119,10.835,1.210,3.63641,-15.19224,-5.40316
81,2.700,-2.268,12.331,2.437,-38.23642,21.78986,-28.64496
82,2.733,-1.386,12.261,5.174,-32.92790,45.43625,-29.02973
83,2.767,1.242,10.753,4.287,2.09387,16.49080,-6.47073
84,2.800,1.326,10.204,4.680,-5.95369,-10.30075,-8.65806
85,2.833,0.584,10.581,3.498,5.30785,-14.08917,-15.91254
86,2.867,-1.039,9.802,2.403,1.58364,-5.87217,-14.24684
87,2.900,-2.233,8.059,2.090,-8.18993,0.30696,3.30737
88,2.933,-1.317,8.477,1.906,-11.57681,7.45770,11.52168
89,2.967,-0.282,8.790,1.705,1.81301,6.55406,9.81096
90,3.000,0.352,8.499,1.456,11.40304,1.98257,4.29679
91,3.033,0.275,7.898,1.283,3.69832,-2.82922,1.21338
92,3.067,-0.206,8.654,0.913,1.32816,-1.10663,-2.27328
93,3.100,-0.788,9.210,0.345,1.44357,-0.40305,-10.21566
94,3.133,-0.676,8.758,0.152,1.99630,3.81779,-15.17318
95,3.167,-0.213,8.679,0.132,-0.26945,6.37275,-14.12195
96,3.200,-0.481,10.395,0.072,-1.17369,2.58326,-6.55245
97,3.233,-0.508,10.734,-0.502,-12.24795,0.09093,3.45778
98,3.267,-1.315,10.492,-0.235,-4.59509,4.04646,-5.72661
99,3.300,-0.060,13.759,1.297,-31.41795,32.19418,-2.73212
100,3.333,2.116,13.295,4.889,-32.58719,-34.91957,34.86380
101,3.367,-0.673,10.024,5.524,13.14281,-35.45968,19.90221
102,3.400,-2.037,9.459,4.157,-9.18563,-7.34575,2.84243
103,3.433,-1.072,11.012,3.322,-6.34000,14.60396,6.22430
104,3.467,-0.246,10.201,2.816,8.98553,0.22727,10.37323
105,3.500,1.257,8.897,2.423,-10.97076,3.89743,2.08291
106,3.533,1.707,9.274,1.583,-6.29377,-6.35240,-1.97438
107,3.567,0.912,9.437,1.998,9.00181,-12.28615,-1.45991
108,3.600,-0.139,8.781,1.606,18.51885,-12.86793,-1.85394
109,3.633,0.032,8.186,1.258,13.26119,-7.21585,-1.21475
110,3.667,0.395,8.484,0.878,4.01904,-8.00988,3.93378
111,3.700,0.678,8.341,0.188,4.39161,-9.65557,8.04821
112,3.733,-0.104,8.399,0.597,8.47171,-9.84338,11.16352
113,3.767,0.372,9.141,1.032,11.92094,-8.60645,11.23542
114,3.800,0.114,10.401,1.009,7.35084,-6.25959,2.13142
115,3.833,0.320,10.845,0.373,8.02944,-9.62551,-7.12244
116,3.867,1.578,10.848,0.633,8.94594,-16.62085,-7.93920
117,3.900,-1.639,13.034,1.459,-26.67712,24.75042,-24.31586
118,3.933,-1.392,11.955,4.289,-38.72359,45.48992,-29.51325
119,3.967,1.969,10.340,4.361,-7.65109,17.03975,-6.14564
120,4.000,0.702,10.565,4.650,-5.05511,-8.76373,-12.30860
121,4.033,-0.318,10.416,3.417,-1.88308,-10.51850,-18.10032
122,4.067,0.138,9.515,2.550,-3.91599,-2.39098,-17.01467
123,4.100,-1.653,8.591,2.123,-12.62300,1.44669,-2.33453
