frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,-0.740,11.265,2.421,-4.96947,0.13740,0.27481
1,0.033,-0.956,10.665,3.042,2.31087,7.94112,-2.33923
2,0.067,-1.329,9.350,2.212,5.47222,9.43117,5.05865
3,0.100,0.119,9.101,2.252,0.12154,12.85132,2.70903
4,0.133,0.095,9.173,2.061,-3.16538,8.87905,0.84454
5,0.167,-0.837,9.262,1.939,-0.49273,10.42620,-2.68369
6,0.200,-1.698,9.586,1.479,-3.84695,15.87948,-4.38793
7,0.233,-0.176,10.261,1.797,6.34789,25.06531,-10.24585
8,0.267,0.293,9.690,2.162,9.95619,12.66613,-7.98065
9,0.300,0.478,9.217,2.094,-4.24828,9.09408,-7.16760
10,0.333,0.149,9.749,2.031,-6.21749,0.91508,-4.04353
11,0.367,0.395,11.031,1.600,0.43267,-0.70477,-1.25042
12,0.400,-0.039,10.153,1.493,12.77678,-2.17246,-1.53314
13,0.433,-0.079,9.124,1.912,6.69929,-2.29822,1.06079
14,0.467,-0.064,9.847,1.475,-1.11391,-0.71657,2.16173
15,0.500,-0.187,9.963,1.297,5.31168,1.63642,4.46825
16,0.533,-0.233,9.461,1.604,3.73229,1.34498,5.24936
17,0.567,-0.217,9.441,1.768,-2.05633,-0.43828,2.35031
18,0.600,-0.177,9.873,1.867,0.12562,-2.27874,-1.74628
19,0.633,-0.023,9.849,1.729,-1.88806,-6.54760,-2.73209
20,0.667,-0.405,9.496,1.657,-1.79548,-7.38638,-4.20788
21,0.700,-0.350,9.746,1.347,-2.30451,-6.18004,-5.68009
22,0.733,-0.378,10.018,1.418,-0.53311,-7.15654,-5.15351
23,0.767,-0.447,9.630,1.500,-0.64734,-8.68675,-4.43867
24,0.800,-0.304,9.538,1.320,-5.26339,-8.55549,-3.55921
25,0.833,-0.374,9.820,1.833,-4.63215,-6.86122,-0.33186
26,0.867,-0.233,9.509,1.986,7.42174,-2.82061,4.05985
27,0.900,-0.107,9.248,3.134,9.24349,-1.07755,10.24986
28,0.933,-0.528,9.226,1.690,5.78900,3.44063,12.98442
29,0.967,-0.111,10.574,0.655,-2.50713,1.59117,10.66081
30,1.000,1.159,11.514,0.428,-5.23271,3.71817,3.71409
31,1.033,-0.649,11.686,0.416,-1.41296,-0.16676,-6.11738
32,1.067,-0.235,9.561,0.546,9.18751,12.15494,-10.04803
33,1.100,0.680,8.726,1.095,1.51963,6.50934,-5.58712
34,1.133,1.055,9.265,0.570,3.16973,-1.59988,-7.03074
35,1.167,0.020,9.312,0.343,5.60801,-5.50390,-3.70924
36,1.200,0.252,9.632,0.170,7.54893,-5.23418,-4.32179
37,1.233,0.608,9.592,0.522,2.95092,-4.19152,-2.57889
38,1.267,0.059,9.611,0.782,-3.03753,-0.04628,-0.01283
39,1.300,0.407,10.345,0.781,-5.07800,3.97252,-2.16257
40,1.333,0.854,10.672,0.353,4.54408,-2.83725,-0.53102
41,1.367,1.340,9.999,-0.102,14.78778,-18.87516,-0.84700
42,1.400,1.344,11.109,0.715,2.43614,-18.45352,-15.65948
43,1.433,-1.295,10.366,1.455,-9.08963,-1.47479,-19.70661
44,1.467,-1.705,11.431,2.892,-14.06424,34.07231,-15.43053
45,1.500,-0.261,11.836,3.451,-10.97831,42.04401,-4.11346
46,1.533,1.820,10.405,3.763,-7.16778,19.56855,2.11997
47,1.567,1.538,9.716,4.456,-1.13947,-5.52227,-6.17100
48,1.600,0.720,9.899,3.497,-0.96408,-6.18510,-20.44669
49,1.633,-0.320,9.437,2.932,-3.03012,-10.81360,-15.46651
50,1.667,-1.208,9.120,2.497,-5.36606,-8.89018,4.62935
51,1.700,-0.275,8.984,2.298,-4.06776,-8.96052,8.25568
52,1.733,-0.054,8.949,1.742,2.30079,-12.63593,8.92619
53,1.767,-0.272,8.974,1.781,2.88684,-9.65545,1.92542
54,1.800,-0.428,9.105,1.596,0.35321,-4.70336,0.23404
55,1.833,-0.323,9.236,1.175,-0.52006,-5.11535,3.59029
56,1.867,-0.497,8.907,0.709,1.93889,-2.57787,2.70621
57,1.900,-0.223,8.862,0.167,-7.89138,0.81396,-2.82544
58,1.933,-0.176,8.735,0.042,-10.29228,2.04153,-11.33373
59,1.967,-0.242,8.902,0.511,-17.12596,4.37942,-13.34789
60,2.000,-0.665,10.018,0.829,-17.80123,2.81181,-6.33297
61,2.033,-0.475,10.395,0.260,-10.43457,0.98041,4.73649
62,2.067,-0.914,9.820,0.371,-11.32625,5.23032,5.82287
63,2.100,-0.728,11.941,0.679,-28.69272,11.49165,12.12207
64,2.133,1.973,13.836,1.412,-34.94700,6.18829,17.94552
65,2.167,-0.789,11.985,3.060,-1.74069,-23.01001,5.58845
66,2.200,-1.682,10.309,4.587,-2.35220,3.33577,1.92357
67,2.233,-0.042,9.964,3.412,9.46820,17.33011,12.53138
68,2.267,-0.269,9.245,3.006,13.76743,8.66496,22.17406
69,2.300,1.147,9.558,2.623,-1.22049,3.55032,5.13977
70,2.333,1.452,9.604,1.889,-3.68094,-2.22790,-11.34886
71,2.367,0.493,9.078,1.432,4.97093,-3.19894,-5.35769
72,2.400,0.281,8.979,1.521,12.00485,-2.27415,2.16491
73,2.433,-0.001,8.961,1.549,11.93392,-1.00027,2.38042
74,2.467,0.597,8.525,1.259,8.35248,-1.03615,-2.09576
75,2.500,0.682,8.960,0.787,2.98961,-2.35807,2.16068
76,2.533,0.430,9.024,0.326,5.03482,-5.12804,6.54416
77,2.567,0.395,8.453,0.569,6.75958,-7.81929,13.05244
78,2.600,0.645,8.745,0.469,7.96302,-9.58665,14.03361
79,2.633,0.214,10.196,0.415,2.92823,-9.94170,1.25038
80,2.667,-0.073,10.507,0.317,-1.84165,-6.02121,-7.98685
81,2.700,1.023,10.035,-0.749,10.87572,-9.08944,-6.57727
82,2.733,0.388,12.888,-0.105,-1.12724,0.76974,-12.00830
83,2.767,-1.188,12.542,4.559,-33.72782,38.21806,-31.44231
84,2.800,-0.648,11.137,5.819,-28.80956,38.25806,-36.94070
85,2.833,-0.232,10.319,5.126,9.64367,13.49849,-18.73303
86,2.867,1.563,10.056,4.050,-15.58720,-3.45237,-10.46776
87,2.900,0.927,10.278,2.681,-10.97525,-6.46701,-8.03455
88,2.933,-0.885,9.521,2.472,-10.17393,-6.60770,-5.56203
89,2.967,-1.431,8.675,1.731,-15.83933,0.99879,5.25504
90,3.000,-0.862,8.627,2.142,-9.94136,8.87293,8.42197
91,3.033,-0.410,8.637,1.809,-0.67819,8.48340,9.27089
92,3.067,0.095,8.257,1.278,1.27747,4.84900,8.82601
93,3.100,0.437,8.595,1.141,0.38833,0.24045,5.45024
94,3.133,-0.300,9.300,0.689,1.43203,-1.89562,-1.81956
95,3.167,-0.280,9.098,0.151,8.12461,-1.39552,-12.02872
96,3.200,-0.624,8.712,0.209,2.27445,-0.49582,-14.76354
97,3.233,-0.375,9.326,0.327,0.24468,1.85526,-9.23496
98,3.267,0.078,10.898,0.190,-7.66752,-1.03813,3.21656
99,3.300,0.066,10.646,-0.618,2.34927,-13.21448,7.75875
100,3.333,-1.229,10.731,-0.688,4.15456,1.78264,-2.88888
101,3.367,-0.795,13.048,-0.794,-17.49725,16.68300,3.95358
102,3.400,1.722,12.502,2.388,-20.37663,0.54625,23.96216
103,3.433,-0.996,10.937,4.847,-6.42112,-26.16815,18.04411
104,3.467,-1.319,9.775,4.910,-0.47377,1.10747,7.96995
105,3.500,0.188,10.190,3.841,6.28874,7.88735,10.41760
106,3.533,-0.656,9.351,2.652,12.00540,-6.05847,13.90391
107,3.567,-0.056,8.803,2.764,-0.42302,-2.72062,4.37212
108,3.600,1.085,9.296,1.908,-7.45003,-5.24073,-8.35777
109,3.633,1.034,9.300,1.520,4.55693,-9.50274,-8.37599
110,3.667,0.506,8.974,1.878,16.33975,-10.65002,0.57830
111,3.700,-0.006,8.913,1.309,9.64671,-9.33406,-1.79077
112,3.733,0.166,8.886,1.021,5.31175,-7.00515,-4.09583
113,3.767,0.398,9.148,0.681,0.05256,-8.02788,-0.77451
114,3.800,0.265,8.794,0.230,4.22193,-12.41738,5.80689
115,3.833,0.688,8.559,0.226,3.59543,-11.09117,10.77269
116,3.867,0.612,9.118,0.445,5.00199,-11.66819,3.47317
117,3.900,-0.242,10.173,0.457,-9.51489,-15.60947,-2.71489
118,3.933,0.091,11.076,-0.138,-4.06488,-6.43196,-10.04954
119,3.967,0.622,11.092,0.356,17.52907,-5.80788,-11.19926
120,4.000,-1.047,12.429,0.309,-11.61725,18.77167,-25.11103
121,4.033,-1.220,11.907,3.485,-29.87190,53.10725,-26.72863
122,4.067,0.924,10.766,4.322,-6.04459,28.88437,-13.28354
123,4.100,0.012,10.657,5.116,6.29670,0.54716,-13.48902
124,4.133,0.123,10.532,3.536,3.19445,-5.05176,-15.93466
125,4.167,0.284,9.388,2.802,-3.01731,-1.99315,-12.41025
126,4.200,-1.095,9.114,2.167,-11.35664,1.45531,4.52470
127,4.233,-1.128,9.629,1.624,-8.54627,5.60355,12.63901
128,4.267,-0.743,8.902,1.609,2.71949,4.59962,10.45065
129,4.300,-0.118,8.190,1.413,5.26409,3.56584,3.59095
130,4.333,0.202,8.079,1.170,4.82034,0.29870,3.64519
131,4.367,-0.007,8.172,1.013,8.76966,-2.12025,1.89323
132,4.400,-0.498,8.853,0.538,-1.40797,1.47015,-3.96741
133,4.433,-0.261,8.975,0.107,-0.95742,5.79726,-9.86596
134,4.467,-0.358,8.834,0.238,0.99255,9.26273,-13.76246
135,4.500,-0.838,9.703,0.563,1.97286,8.80738,-7.79810
136,4.533,-0.004,10.622,-0.073,-3.74559,5.12707,3.84739
137,4.567,-0.090,9.705,-0.491,-5.64180,-3.48510,2.94947
138,4.600,-1.205,11.651,-0.380,-12.92626,4.36167,4.45822
139,4.633,1.338,13.983,1.763,-26.91599,3.44464,24.23520
140,4.667,1.384,12.523,3.384,-0.13667,-41.19898,27.62227
141,4.700,-3.482,9.250,5.240,-5.07626,-10.01107,5.48400
142,4.733,-1.508,10.011,3.720,-5.95969,21.76498,11.28412
143,4.767,0.291,10.565,2.836,14.91510,13.29642,20.87547
144,4.800,0.406,9.203,2.871,5.44175,-3.13395,14.53205
145,4.833,1.386,8.911,2.546,-7.89509,-3.84947,-6.42593
146,4.867,0.802,9.078,1.593,0.07237,-9.35837,-9.06216
147,4.900,0.315,8.905,1.560,9.21550,-6.77549,-2.94147
148,4.933,-0.123,8.934,1.621,15.05683,-5.13976,2.65563
149,4.967,0.005,8.658,1.536,8.97950,-3.55392,3.06237
150,5.000,0.390,8.879,1.063,0.07174,-4.15273,3.38875
151,5.033,0.169,9.094,0.495,3.97130,-8.43032,7.16787
152,5.067,0.015,8.832,0.388,14.10231,-7.30417,13.61810
153,5.100,0.824,9.282,0.503,16.08193,-6.31756,14.24960
154,5.133,1.149,9.166,0.181,-0.13522,-37.70295,1.79300
155,5.167,-0.622,10.026,-0.138,5.43760,2.35023,-3.98950
156,5.200,0.355,10.358,0.121,12.00820,9.15939,-8.29810
157,5.233,-0.671,12.655,1.429,-11.69552,21.14093,-25.98638
158,5.267,-1.491,12.867,4.445,-42.78648,59.84208,-36.10559
159,5.300,1.549,10.551,4.173,-15.34425,19.60439,-14.84636
160,5.333,0.562,10.077,4.623,7.21747,-16.29879,-13.01026
161,5.367,-0.435,10.024,3.501,4.44409,-14.88272,-18.51657
162,5.400,-0.059,9.328,3.125,-2.42726,1.48879,-18.77010
163,5.433,-1.222,9.107,2.528,-14.55733,4.58986,-5.66470
164,5.467,-1.835,9.292,2.110,-11.89574,8.15546,8.22520
165,5.500,-1.348,9.427,1.951,-9.31986,11.57542,9.60569
166,5.533,-0.356,9.232,1.555,3.08645,9.22069,2.25373
167,5.567,-0.092,9.014,1.483,4.30948,2.52788,1.06977
168,5.600,-0.304,8.366,1.156,3.22195,1.21921,0.29774
169,5.633,-0.358,8.467,0.686,-2.07829,3.32679,-2.32717
170,5.667,-0.221,8.769,0.203,-2.73122,4.39370,-7.78883
171,5.700,-0.237,8.621,0.262,-2.33644,2.32602,-14.44368
172,5.733,-0.314,8.731,0.243,-2.14224,0.58073,-12.45115
173,5.767,-0.567,10.006,0.415,-6.15327,2.64476,-4.28690
174,5.800,-0.082,10.129,-0.626,-9.05122,-10.24291,0.48636
175,5.833,-0.610,10.176,-0.888,-5.53131,-5.90265,-4.70193
176,5.867,-0.093,12.498,-0.078,-23.50417,7.19122,3.39114
177,5.900,1.843,13.944,2.319,-41.26470,-17.00700,33.33106
178,5.933,-0.833,12.292,4.772,10.75705,-47.97515,22.92697
179,5.967,-2.848,9.848,5.084,-3.48726,-1.86593,4.30420
180,6.000,-0.916,10.912,3.382,6.83375,23.13304,8.41577
181,6.033,-0.031,10.350,2.850,16.75474,10.74667,12.91194
182,6.067,1.189,9.034,2.462,0.15948,1.93078,1.25859
183,6.100,1.396,8.906,1.514,-2.37746,-5.83126,-10.88334
184,6.133,0.629,8.750,1.407,7.82826,-10.11068,-7.84605
185,6.167,0.383,8.818,1.520,20.76208,-10.16907,0.42449
186,6.200,0.238,8.757,1.407,20.86542,-11.60151,1.30794
187,6.233,0.318,8.304,1.079,10.35876,-7.48785,-0.82792
188,6.267,0.000,8.804,0.258,-2.80475,-8.40081,4.67149
189,6.300,0.085,8.748,0.014,-0.03326,-7.50444,8.76532
190,6.333,0.365,8.668,0.171,5.18814,-12.35529,12.10706
191,6.367,0.885,9.897,0.252,6.29821,-19.01926,12.59062
192,6.400,0.107,10.730,0.390,6.48188,-8.02504,-2.16610
193,6.433,0.430,10.392,0.227,8.43248,-14.12899,-9.09847
194,6.467,1.009,10.478,0.274,22.92023,-9.51394,-6.67619
195,6.500,-1.876,13.252,1.333,-25.27234,6.22447,-20.03772
196,6.533,-2.215,12.529,5.494,-47.76177,56.31781,-40.79138
197,6.567,0.585,9.784,5.236,-4.55379,29.45806,-17.12048
198,6.600,1.058,10.165,4.726,-7.36798,0.78541,-8.23584
199,6.633,0.570,10.782,3.522,-15.98712,-4.81254,-12.69449
200,6.667,-0.225,10.158,2.461,-3.08944,-3.10993,-14.23274
201,6.700,-1.707,8.689,2.088,-14.00890,-1.90809,-2.65956
202,6.733,-1.411,8.601,1.723,-15.55063,5.53817,7.29605
203,6.767,-0.713,8.957,1.583,-6.49193,12.93547,8.06225
204,6.800,-0.211,8.943,0.992,12.19011,9.36145,5.12244
205,6.833,-0.138,8.390,1.180,12.03023,5.50386,5.49590
206,6.867,0.116,8.425,0.709,4.15460,2.89915,6.95872
207,6.900,-0.177,9.081,0.243,1.09010,1.65391,-1.65307
208,6.933,-0.110,8.793,-0.246,7.47522,0.85863,-10.64894
209,6.967,-0.663,8.558,0.228,5.80756,8.85971,-14.40189
210,7.000,-0.976,9.962,0.267,-1.40716,10.95128,-8.38330
211,7.033,-0.350,11.010,-1.000,-10.91598,3.18941,7.70671
212,7.067,-0.332,9.988,0.120,-2.86366,-2.15638,5.04259
213,7.100,-0.513,12.566,-0.099,-14.75363,11.52690,-0.58294
214,7.133,2.590,14.518,2.117,-29.21456,-4.33456,26.29513
215,7.167,-0.564,11.660,5.173,15.67905,-56.79135,26.90848
216,7.200,-2.322,8.858,5.528,-4.23341,-7.51183,-4.27135
217,7.233,-1.150,9.618,3.244,-19.91577,21.21287,-0.07516
218,7.267,0.094,10.761,2.197,3.27135,7.67122,13.65515
219,7.300,0.335,9.724,2.798,2.44604,-1.39503,14.55022
220,7.333,1.808,9.528,2.272,-6.43424,-4.47410,-4.12657
221,7.367,0.793,9.290,1.401,5.06769,-10.97429,-9.70724
222,7.400,0.213,8.817,1.686,22.88050,-10.56953,-7.04748
