frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,1.051,9.728,-1.044,-1.71756,0.58015,-1.87786
1,0.033,0.845,9.847,-1.034,-1.66085,0.87515,-1.65513
2,0.067,1.007,9.756,-0.982,-1.75238,0.88464,-0.81594
3,0.100,0.867,9.792,-1.013,-1.75626,0.74822,-1.76724
4,0.133,0.979,9.722,-0.957,-1.59434,0.33260,-0.60870
5,0.167,0.959,9.741,-0.995,-1.19468,-0.01469,-2.68091
6,0.200,0.940,9.732,-0.958,-2.20119,-0.08808,-2.06092
7,0.233,0.988,9.793,-1.021,-2.21162,-0.26669,-2.23633
8,0.267,0.955,9.793,-0.967,-1.82309,-0.35780,-2.16851
9,0.300,0.958,9.828,-0.999,-1.08777,-0.36118,-2.45199
10,0.333,0.957,9.759,-0.962,-0.59571,0.00748,-2.27129
11,0.367,0.905,9.718,-0.992,-0.22008,0.05219,-2.03053
12,0.400,0.770,9.936,-1.023,0.53004,0.27598,-1.74280
13,0.433,0.894,9.738,-0.965,0.60209,1.06443,-1.67169
14,0.467,0.880,9.771,-1.189,0.53981,1.66004,-1.75027
15,0.500,0.900,9.787,-1.105,0.84687,1.83621,-2.05702
16,0.533,0.998,9.900,-1.135,2.36598,1.65701,-1.99257
17,0.567,1.056,9.854,-1.010,2.89296,0.39329,-1.87951
18,0.600,1.031,9.716,-1.204,3.29309,-0.00115,-1.79949
19,0.633,0.633,9.637,-1.018,2.70932,0.47553,-1.69567
20,0.667,0.877,9.699,-1.076,2.21289,1.55626,-1.92536
21,0.700,0.866,9.703,-1.110,1.97783,1.31053,-2.31042
22,0.733,1.035,9.623,-1.089,1.28935,0.28300,-2.49334
23,0.767,1.081,9.844,-1.060,0.92331,-1.05940,-2.30391
24,0.800,1.027,10.031,-1.069,3.19611,-0.06507,-2.32853
25,0.833,0.984,9.790,-0.941,4.54750,-0.82680,-2.60254
26,0.867,0.944,9.641,-1.032,3.64840,-0.54286,-3.00219
27,0.900,0.962,9.713,-0.858,2.88371,0.29965,-2.93389
28,0.933,1.059,9.758,-0.958,2.71920,0.25355,-3.30415
29,0.967,1.015,9.806,-0.928,2.92133,-0.17312,-3.37444
30,1.000,1.034,9.696,-0.985,3.37618,-0.42179,-3.82263
31,1.033,0.984,9.779,-0.978,2.49284,-0.68502,-3.97462
32,1.067,1.059,9.813,-0.880,3.25704,-0.46855,-4.17945
33,1.100,1.174,9.870,-0.822,4.24972,-0.33041,-4.65321
34,1.133,1.200,9.875,-0.787,4.38010,0.05951,-4.78482
35,1.167,1.060,10.072,-0.668,6.07594,2.32777,-5.50114
36,1.200,0.929,10.075,-0.364,9.21148,4.27531,-7.31549
37,1.233,0.902,10.027,-0.209,14.75844,9.15018,-9.10747
38,1.267,1.342,10.205,0.083,23.38109,15.28453,-8.26455
39,1.300,1.566,9.752,-0.047,36.28822,25.25918,-10.30861
40,1.333,1.298,8.965,-1.262,27.44201,23.10306,-9.86321
41,1.367,2.508,9.145,-1.770,19.66471,14.00274,-0.57890
42,1.400,4.990,10.643,-1.250,14.03958,2.05931,4.24554
43,1.433,3.264,11.457,-0.765,35.88037,4.59264,-7.64336
44,1.467,1.882,8.555,-0.153,43.80194,9.97746,4.79557
45,1.500,2.352,7.645,-0.954,28.21523,10.30750,17.01491
46,1.533,2.760,7.386,-1.078,19.01751,0.59939,23.36497
47,1.567,2.986,7.589,-1.043,21.02532,-3.68043,32.71967
48,1.600,3.270,7.013,-1.114,11.12966,-17.16121,54.27111
49,1.633,2.880,11.114,4.310,-11.88532,-29.56090,57.54226
50,1.667,-6.635,19.613,-1.907,35.64320,26.27238,19.52364
51,1.700,-0.184,4.348,0.905,36.27932,8.89921,63.93763
52,1.733,4.220,10.442,3.081,-43.49495,3.92282,35.95115
53,1.767,-1.550,14.483,3.522,33.08287,3.55989,13.34781
54,1.800,-2.641,7.004,2.507,0.73898,-0.87770,36.73694
55,1.833,-0.480,9.216,2.369,-5.19523,-5.04272,31.65009
56,1.867,-0.977,8.506,3.234,-6.05514,-8.48822,28.80929
57,1.900,-0.627,9.270,3.407,-13.76503,-10.27578,22.00800
58,1.933,-1.039,9.183,2.221,-8.66026,-16.27263,17.37396
59,1.967,-1.432,9.224,2.295,-11.36431,-24.49795,11.38498
60,2.000,-1.336,8.874,2.342,-13.52903,-25.36626,6.31194
61,2.033,-1.229,8.908,1.855,-15.86733,-26.47304,1.47280
62,2.067,-1.358,9.345,1.579,-13.22740,-32.89100,-3.98330
63,2.100,-1.461,9.386,1.381,-10.20279,-35.76763,-8.96289
64,2.133,-1.520,9.128,1.222,-9.96843,-35.63669,-14.28930
