frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,0.122,9.881,1.994,-1.12977,0.81679,-1.06870
1,0.033,0.098,9.692,2.048,-0.60630,0.45919,-1.20596
2,0.067,-0.021,9.702,2.148,-1.40756,0.56746,-1.48298
3,0.100,0.065,9.840,2.057,-1.68228,0.70446,-0.99980
4,0.133,0.034,9.671,2.066,-1.53391,0.44189,-1.22789
5,0.167,0.032,9.791,2.087,-1.56229,0.21628,-1.76588
6,0.200,0.114,9.846,2.077,-1.97214,-0.22584,-1.92266
7,0.233,0.046,9.738,2.046,-2.25401,-0.00842,-1.45292
8,0.267,-0.015,9.738,1.937,-2.86738,-1.93035,-1.36728
9,0.300,0.127,9.905,2.059,-2.76913,1.14659,-1.03287
10,0.333,-0.006,9.684,1.929,-2.96552,0.28841,-1.58463
11,0.367,-0.096,9.398,1.731,-2.83275,1.19936,-0.23682
12,0.400,-0.026,9.166,1.575,-1.16034,3.45818,-3.70997
13,0.433,-0.076,9.612,1.723,4.57486,4.92131,-4.53087
14,0.467,0.385,10.654,1.533,-2.62820,1.34147,-6.00981
15,0.500,0.097,10.223,1.532,-7.68593,-1.25578,-5.75555
16,0.533,-0.727,9.711,1.331,-2.59300,-0.68950,-1.44868
17,0.567,-0.819,9.946,1.679,6.70733,0.20351,4.07679
18,0.600,-0.033,9.441,2.145,12.86079,6.84339,15.63928
19,0.633,0.050,9.519,1.803,6.58000,8.23888,18.70802
20,0.667,0.192,9.922,1.431,0.85182,9.69546,13.40360
21,0.700,0.601,10.488,0.795,0.54666,8.44838,8.52958
22,0.733,0.989,10.540,0.375,-5.66374,3.06515,0.93312
23,0.767,0.189,11.439,0.952,0.78474,2.47304,-8.47225
24,0.800,-0.257,10.119,0.808,15.61228,10.33647,-8.85893
25,0.833,0.403,9.134,0.891,9.56194,10.84007,-4.08040
26,0.867,0.656,9.373,0.804,6.56112,8.33044,-2.88083
27,0.900,0.639,9.788,0.764,10.30920,5.79537,-0.58421
28,0.933,0.724,9.923,0.795,10.05934,2.55179,-0.48076
29,0.967,0.557,9.505,0.912,10.20594,-1.60710,0.07287
30,1.000,0.500,9.056,0.842,4.05847,-3.40632,2.85323
31,1.033,0.831,9.712,0.732,-3.86241,-2.89143,1.62710
32,1.067,1.212,9.933,0.262,-6.68963,-9.53428,2.13122
33,1.100,1.111,10.051,0.918,-12.01806,-9.96838,-2.63096
34,1.133,-0.956,11.877,1.544,-20.34024,-1.00977,-7.19642
35,1.167,-1.178,11.472,2.344,-13.99059,19.35130,-8.77921
36,1.200,1.032,9.602,1.747,-19.55856,12.60172,0.60795
37,1.233,1.279,10.800,2.941,-24.83637,3.55621,-2.12359
38,1.267,0.136,10.547,4.165,-2.84080,-0.08705,-8.96747
39,1.300,-0.641,9.204,4.384,2.60983,-6.39189,-10.77842
40,1.333,-0.277,9.053,3.223,-8.66869,-8.65285,-6.73494
41,1.367,-1.049,9.545,2.716,-13.38918,-6.37045,4.43617
42,1.400,-0.692,9.520,2.642,-13.76700,-6.50015,6.99159
43,1.433,-0.433,9.959,1.898,-16.05515,-8.47465,8.26198
44,1.467,-0.279,9.376,1.676,-5.78187,-9.12669,3.86498
45,1.500,-0.676,9.106,1.465,-2.50191,-6.55119,0.24419
46,1.533,-0.713,9.212,1.290,0.61488,-3.64932,1.67223
47,1.567,-0.568,9.087,1.055,4.72034,-2.78193,0.74280
48,1.600,-0.657,9.098,0.719,4.22673,-2.47703,-1.58479
49,1.633,-0.367,9.394,0.520,4.52252,0.90640,-6.31403
50,1.667,-0.383,8.980,0.058,6.68475,2.68072,-11.70670
51,1.700,-0.653,8.664,0.303,0.37203,2.90742,-11.85346
52,1.733,-0.635,9.332,0.519,-7.91766,3.70536,-6.75099
53,1.767,-0.444,10.547,0.205,-3.60249,5.37209,0.29515
54,1.800,-0.389,10.488,0.287,9.81093,4.50665,0.08814
55,1.833,-1.382,10.784,0.423,-2.31590,14.41660,1.71318
56,1.867,-0.108,12.763,1.298,-32.33025,26.39349,9.66242
57,1.900,1.617,12.757,1.728,-21.04621,-21.72589,22.20415
58,1.933,-0.668,9.812,2.212,-4.19738,-28.25003,-1.22559
59,1.967,-1.886,9.336,3.693,-12.92045,4.57951,-3.31523
60,2.000,0.080,9.980,3.936,11.12687,18.72900,10.46633
61,2.033,-0.231,10.022,3.273,7.18771,6.62749,21.59808
62,2.067,0.295,9.052,2.831,-7.43276,2.70227,8.64870
63,2.100,1.147,9.472,2.251,-18.89814,1.49139,-13.63815
64,2.133,0.686,10.086,1.335,-7.20495,2.16648,-11.82450
65,2.167,0.123,9.698,1.494,7.84736,4.57913,-0.51847
66,2.200,-0.208,8.999,1.186,12.89610,3.55917,6.49696
67,2.233,0.493,8.793,1.114,19.55309,-1.16495,1.92821
68,2.267,0.976,9.277,1.253,20.20004,-7.99251,0.90211
69,2.300,0.707,9.154,0.573,16.36609,-16.47797,2.24398
70,2.333,0.442,7.867,0.713,6.47796,-15.01515,3.17957
71,2.367,0.565,8.488,0.462,-5.84595,-19.10324,10.18083
72,2.400,0.139,11.254,1.033,9.79128,-23.22551,5.30290
73,2.433,-0.017,10.113,0.229,21.47012,-37.32956,-10.66554
74,2.467,0.586,8.809,-0.223,26.22140,0.42651,-5.11582
