frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,0.086,9.701,1.834,-1.95420,0.05344,-1.72519
1,0.033,0.077,9.852,1.801,-1.50745,2.10028,-1.74367
2,0.067,0.007,9.889,1.731,-0.86035,1.26433,-1.06103
3,0.100,-0.124,9.874,1.817,-0.11009,1.58162,-0.64399
4,0.133,-0.078,9.816,1.855,-0.24902,1.86466,-0.32432
5,0.167,-0.079,9.795,1.959,-0.75457,2.33756,-0.53409
6,0.200,-0.060,9.795,1.799,0.23865,2.43270,-0.47930
7,0.233,-0.028,9.748,1.827,-0.91275,2.45266,-0.61201
8,0.267,0.121,9.817,1.922,-1.12886,2.17695,-0.80115
9,0.300,-0.010,9.829,1.835,-0.12302,1.28239,-1.24427
10,0.333,0.077,9.810,1.832,-0.17224,0.55911,-1.28852
11,0.367,0.110,9.797,1.849,-0.32812,0.36444,-1.63833
12,0.400,-0.040,9.860,1.819,0.30224,0.38968,-1.74610
13,0.433,0.049,9.857,1.935,0.19773,0.38427,-1.33234
14,0.467,0.038,9.711,1.793,0.16031,1.09851,-0.93900
15,0.500,0.089,9.886,1.833,-0.72395,2.63731,0.04712
16,0.533,-0.058,9.950,1.772,2.34474,2.33753,1.94810
17,0.567,-0.388,9.903,2.001,3.24922,1.48139,2.36057
18,0.600,-0.253,9.716,1.946,3.97540,-2.01087,1.88115
19,0.633,-0.094,9.849,1.821,2.09044,-5.10811,0.59001
20,0.667,-0.197,9.739,1.731,-1.62804,-3.41366,-1.76902
21,0.700,-0.277,9.583,1.606,-1.01595,-1.10715,-5.40096
22,0.733,-0.846,9.883,1.335,-0.89344,2.60452,-5.75629
23,0.767,-0.273,9.867,1.401,-0.64010,1.97358,-4.52767
24,0.800,-0.105,9.891,1.382,-0.88319,0.14561,-5.80141
25,0.833,-0.175,10.068,1.505,-2.44394,-1.45021,-7.59574
26,0.867,-0.224,9.800,1.327,-6.19249,-1.97514,-8.05308
27,0.900,-0.109,9.796,1.400,-5.39323,-0.81329,-7.37068
28,0.933,-0.453,9.968,1.204,-2.85683,1.28140,-4.21475
29,0.967,-0.472,9.918,1.560,0.66172,2.10478,3.13014
30,1.000,0.089,9.202,1.818,7.29152,3.88045,9.78344
31,1.033,0.208,9.181,1.874,5.66655,7.11063,14.15950
32,1.067,0.248,10.084,1.715,7.13225,6.61075,10.71064
33,1.100,0.274,10.147,1.090,7.37426,7.59150,9.26019
34,1.133,1.097,9.947,1.034,2.85297,7.52502,9.21045
35,1.167,0.744,10.804,1.080,-2.61313,5.00269,2.70176
36,1.200,0.123,10.740,1.195,6.43909,8.92916,-3.40672
37,1.233,0.495,9.316,1.343,7.00381,7.21332,-2.87373
38,1.267,0.521,9.177,0.753,0.81635,4.47294,-4.98179
39,1.300,0.394,9.712,0.653,0.47598,2.35088,-4.46155
40,1.333,0.461,9.802,0.677,3.82310,2.46718,-0.20897
41,1.367,0.693,9.555,0.719,4.59815,0.83322,0.71742
42,1.400,0.885,9.687,0.849,5.04134,-2.98467,-0.26462
43,1.433,0.647,9.760,0.533,4.57863,-2.80980,0.13908
44,1.467,0.425,9.858,0.694,0.90149,1.97114,-1.13719
45,1.500,0.904,9.696,0.861,5.82631,-2.42747,1.30707
46,1.533,1.315,10.279,0.620,6.24375,-10.12866,-2.72180
47,1.567,0.471,11.034,1.878,-11.37105,-10.93818,-14.83267
48,1.600,-0.250,10.799,1.408,-15.42741,15.47854,-15.63833
49,1.633,0.562,10.934,1.720,-16.37752,15.91574,-6.19696
50,1.667,0.749,11.291,2.260,-14.21376,7.78681,-2.66084
51,1.700,0.058,11.154,3.139,-8.31684,1.64408,0.23668
52,1.733,0.003,9.451,3.998,-3.52246,-5.89517,-1.31228
53,1.767,-0.188,8.849,3.723,-3.65688,-9.76650,-9.50142
54,1.800,-0.670,9.114,3.163,-5.12592,-7.57604,-10.03607
55,1.833,-1.230,9.544,2.607,-9.41875,0.06235,-0.82010
56,1.867,-1.378,9.594,2.127,-14.46010,5.45301,10.17109
57,1.900,-0.465,9.686,1.708,-14.78002,5.47439,9.62398
58,1.933,0.008,9.744,1.633,-2.02045,-0.42677,2.89100
59,1.967,0.113,9.419,1.485,3.10981,-5.62027,0.75801
60,2.000,-0.201,8.807,1.454,4.53400,-6.75158,0.77423
61,2.033,-0.546,8.902,1.197,4.35853,-4.87306,0.29205
62,2.067,-0.596,9.273,1.031,6.97806,-4.48177,-2.41445
63,2.100,-0.350,9.089,0.617,7.37329,-0.45664,-9.30250
64,2.133,-0.365,8.606,0.180,5.42115,5.05485,-15.84475
65,2.167,-0.585,8.553,0.308,-0.38779,7.18953,-16.42571
66,2.200,-0.543,9.805,0.803,-10.77334,4.86437,-8.31777
67,2.233,-0.535,10.809,0.612,-4.40427,4.84693,2.56133
68,2.267,-0.696,10.318,0.103,2.19874,10.78792,2.13945
69,2.300,-1.461,10.498,-0.324,-11.29927,17.05344,2.21317
70,2.333,0.706,12.277,-0.161,-38.20232,10.01564,11.08373
71,2.367,0.722,12.451,3.005,-14.90234,-7.19672,12.33956
72,2.400,-0.769,11.357,3.362,1.45850,-8.73121,5.45334
