frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,1.350,9.780,-1.137,-2.41221,1.61069,-1.64122
1,0.033,1.285,9.725,-1.198,-1.74146,0.24273,-1.65751
2,0.067,1.175,9.594,-1.151,-1.15928,0.13372,-1.69493
3,0.100,1.282,9.543,-1.117,-3.04815,-0.23252,-1.10628
4,0.133,1.338,9.774,-1.166,-2.33809,-1.72668,-0.98235
5,0.167,1.285,9.850,-1.122,-2.18273,-1.91415,-1.17499
6,0.200,1.231,9.727,-1.216,-1.46783,-1.30341,-1.09924
7,0.233,1.111,9.733,-1.308,-1.22921,-1.17206,-0.98160
8,0.267,1.088,9.628,-1.172,-3.78862,-0.64859,-1.30873
9,0.300,1.113,9.584,-1.099,-3.98657,0.42323,-1.12146
10,0.333,1.318,9.674,-1.174,-3.89524,0.48725,-0.44226
11,0.367,1.254,9.682,-1.337,-3.73538,0.40193,-0.64737
12,0.400,1.170,9.531,-1.088,-4.01906,0.19847,-1.19853
13,0.433,1.212,9.576,-1.242,-2.07992,0.56039,-1.18792
14,0.467,1.330,9.764,-1.249,-3.49356,0.09816,-1.01212
15,0.500,1.325,9.761,-1.260,-2.51922,0.45398,-1.16289
16,0.533,1.107,9.764,-1.290,-1.98014,1.41573,-1.27774
17,0.567,1.136,9.698,-1.170,-2.48545,2.26001,-0.67528
18,0.600,1.293,9.748,-1.132,-1.20380,0.72400,-0.00803
19,0.633,1.258,9.529,-1.158,-1.13075,-1.71752,-0.16218
20,0.667,1.515,9.539,-1.173,-0.14172,-2.04608,-1.24274
21,0.700,1.119,9.702,-1.318,-1.24997,-2.09025,-1.31612
22,0.733,1.193,9.620,-1.179,-2.09098,-0.83727,-1.82749
23,0.767,1.163,9.566,-1.124,-2.64057,-0.27431,-1.61496
24,0.800,1.226,9.734,-1.239,-2.68095,1.55813,-0.96168
25,0.833,1.197,9.727,-1.337,-2.40385,-0.14370,-0.55710
26,0.867,1.128,9.769,-1.231,-2.78796,0.41127,-0.79352
27,0.900,1.119,9.718,-1.256,-2.48615,1.07952,-1.09076
28,0.933,1.208,9.675,-1.410,-2.48210,1.55695,-1.39854
29,0.967,1.226,9.732,-1.304,-1.33310,1.37330,-1.35213
30,1.000,1.203,9.556,-1.447,-0.84927,0.82626,-1.31204
31,1.033,1.314,9.783,-1.276,-1.29528,1.53436,-0.99387
32,1.067,1.268,9.703,-1.270,-1.37239,-0.48482,-0.79945
33,1.100,1.248,9.700,-1.362,-1.55502,-0.80850,-0.71946
34,1.133,1.333,9.730,-1.297,-1.43174,-0.96327,-0.67599
35,1.167,1.144,9.747,-1.297,-1.53443,-0.07797,-0.57078
36,1.200,1.073,9.702,-1.124,-1.52663,0.45896,-0.56904
37,1.233,1.182,9.622,-1.159,-3.03909,0.10902,-0.57862
38,1.267,1.178,9.672,-1.325,-3.05706,-0.22606,-0.77534
39,1.300,1.091,9.562,-1.321,-3.24347,1.00306,-0.46581
40,1.333,1.114,9.636,-1.349,-4.01487,2.83755,-0.56549
41,1.367,1.045,9.548,-1.281,-3.93881,4.71095,-0.26298
42,1.400,1.171,9.511,-1.261,-5.04979,4.99008,0.22922
43,1.433,1.106,9.610,-1.235,-6.15641,3.58763,0.15446
44,1.467,1.193,9.767,-1.373,-4.00826,1.73673,-0.44263
45,1.500,1.276,9.714,-1.308,-2.38749,1.36322,-0.31844
46,1.533,1.330,9.584,-1.449,-3.08625,-1.60042,-0.46401
47,1.567,1.225,9.712,-1.316,-3.27652,-2.90043,-0.18034
48,1.600,1.030,9.855,-1.517,-0.77865,-2.56263,-0.82492
49,1.633,1.267,10.050,-1.769,2.43394,-3.56924,-1.50795
50,1.667,1.296,9.896,-1.649,4.22272,-5.32360,-1.66224
51,1.700,1.223,9.601,-1.364,4.75650,-7.03425,-1.17357
52,1.733,1.003,9.416,-1.209,3.97124,-6.19630,-1.07921
53,1.767,0.965,9.407,-1.227,-0.39539,-4.00855,-1.66068
54,1.800,1.037,9.624,-1.240,-0.84232,-3.69300,-2.59017
55,1.833,1.095,9.907,-1.470,0.60587,-0.13908,-2.55013
56,1.867,1.025,9.747,-1.421,0.94656,2.47230,-2.83652
57,1.900,0.971,9.747,-1.349,0.64056,5.87339,-2.54488
58,1.933,0.998,9.708,-1.435,1.06281,6.88439,-1.94116
59,1.967,1.001,9.578,-1.319,0.89280,9.29092,-2.53751
60,2.000,1.025,9.681,-1.184,1.92307,8.38762,-1.95444
61,2.033,1.105,9.810,-1.193,1.85334,8.84127,1.67297
62,2.067,1.251,10.230,-1.353,0.32110,6.73141,1.51398
63,2.100,1.358,9.813,-1.282,1.75241,0.35321,2.89502
64,2.133,0.978,9.550,-1.104,0.40914,-5.04988,3.14320
65,2.167,0.594,9.593,-1.154,-0.12905,-3.42499,1.27042
66,2.200,0.542,9.698,-1.154,-3.33137,1.58769,0.40089
67,2.233,0.824,9.859,-1.132,-5.63221,5.08922,-1.29809
68,2.267,0.944,9.944,-1.302,1.65927,4.70447,-3.17214
69,2.300,0.991,9.960,-1.317,4.20430,4.67942,-3.92449
70,2.333,1.179,10.082,-1.211,6.60167,3.47374,-5.64220
71,2.367,1.207,9.820,-0.962,6.79266,-0.09947,-3.49177
72,2.400,1.182,9.538,-1.014,4.02964,-1.27736,-5.24402
73,2.433,0.799,9.720,-1.135,5.57509,-2.29827,-3.82088
74,2.467,0.536,9.537,-1.332,6.51111,-0.10497,-3.00343
75,2.500,0.684,9.651,-1.166,6.14142,2.66876,-4.70402
76,2.533,1.046,9.679,-1.278,9.45254,5.04099,-10.05936
